title,url,pageid,source_category,instance_of,wikidata_qid,founded,dissolved,validation
Calhoun County Schools (Alabama),https://en.wikipedia.org/wiki/Calhoun_County_Schools_(Alabama),38579872,Schools in the United States,school district,Q5019774,,,out_of_scope
Charter schools in the United States,https://en.wikipedia.org/wiki/Charter_schools_in_the_United_States,331693,Schools in the United States,aspect in a geographic region,Q1067825,,,non_school
Clinton Liberal Institute,https://en.wikipedia.org/wiki/Clinton_Liberal_Institute,54737615,Schools in the United States,school,Q43079959,1831,1900,defunct
Expeditionary learning schools,https://en.wikipedia.org/wiki/Expeditionary_learning_schools,24267175,Schools in the United States,,Q5420983,,,unverified
Full-service community schools in the United States,https://en.wikipedia.org/wiki/Full-service_community_schools_in_the_United_States,34066633,Schools in the United States,aspect in a geographic region,Q5507960,,,non_school
Headlands Preparatory School,https://en.wikipedia.org/wiki/Headlands_Preparatory_School,78204136,Schools in the United States,school,Q130644826,,,school
Huntsville Female College,https://en.wikipedia.org/wiki/Huntsville_Female_College,72819146,Schools in the United States,,Q124936396,,,unverified
Illinois State University College of Arts and Sciences,https://en.wikipedia.org/wiki/Illinois_State_University_College_of_Arts_and_Sciences,82595999,Schools in the United States,,Q139962260,,,unverified
Kansas Industrial School for Girls,https://en.wikipedia.org/wiki/Kansas_Industrial_School_for_Girls,72070037,Schools in the United States,university,Q115823630,,,out_of_scope
National School Choice Week,https://en.wikipedia.org/wiki/National_School_Choice_Week,41842649,Schools in the United States,thematic week,Q17125817,2011,,non_school
Nihon Go Gakko (Seattle),https://en.wikipedia.org/wiki/Nihon_Go_Gakko_(Seattle),47986933,Schools in the United States,school building,Q21070919,,,school
The Palmdale Aerospace Academy,https://en.wikipedia.org/wiki/The_Palmdale_Aerospace_Academy,41918030,Schools in the United States,school,Q17107585,2012,,school
Russian Math Tutors,https://en.wikipedia.org/wiki/Russian_Math_Tutors,82788956,Schools in the United States,school,Q139074035,,,school
St. Mary's Mission boarding school,https://en.wikipedia.org/wiki/St._Mary's_Mission_boarding_school,82265322,Schools in the United States,,Q138298849,,,unverified
High school in the United States,https://en.wikipedia.org/wiki/High_school_in_the_United_States,54987918,High schools in the United States,,Q121116229,,,unverified
NAF (non-profit organization),https://en.wikipedia.org/wiki/NAF_(non-profit_organization),2108379,High schools in the United States,business,Q6970109,1982,,non_school
Career and technical education,https://en.wikipedia.org/wiki/Career_and_technical_education,10940898,High schools in the United States,,Q131378444,,,unverified
Christchurch School,https://en.wikipedia.org/wiki/Christchurch_School,3313651,High schools in the United States,school,Q5109092,1921,,school
Christian Heritage School (Connecticut),https://en.wikipedia.org/wiki/Christian_Heritage_School_(Connecticut),4714440,High schools in the United States,school,Q5109713,1977,,school
CICS Northtown Academy,https://en.wikipedia.org/wiki/CICS_Northtown_Academy,21380127,High schools in the United States,high school,Q5011596,2002,,school
Cono Christian School,https://en.wikipedia.org/wiki/Cono_Christian_School,4696774,High schools in the United States,school,Q5162092,1951,,school
Create Charter High School,https://en.wikipedia.org/wiki/Create_Charter_High_School,12269980,High schools in the United States,charter high school,Q5183428,2001,,school
Creston High School (Michigan),https://en.wikipedia.org/wiki/Creston_High_School_(Michigan),13988060,High schools in the United States,high school,Q5184614,1923,,school
Eminence High School,https://en.wikipedia.org/wiki/Eminence_High_School,76238367,High schools in the United States,Wikimedia disambiguation page,Q124726817,,,non_school
High School Survey of Student Engagement,https://en.wikipedia.org/wiki/High_School_Survey_of_Student_Engagement,26299397,High schools in the United States,high school,Q5756569,,,school
National Association of Secondary School Principals,https://en.wikipedia.org/wiki/National_Association_of_Secondary_School_Principals,13176486,High schools in the United States,organization,Q6970757,1916,,non_school
Secondary education in the United States,https://en.wikipedia.org/wiki/Secondary_education_in_the_United_States,378405,High schools in the United States,secondary education in country or region,Q3054793,,,non_school
Conant Report,https://en.wikipedia.org/wiki/Conant_Report,68660180,Secondary schools in the United States,book,Q108431028,,,non_school
Santa Barbara Junior High School,https://en.wikipedia.org/wiki/Santa_Barbara_Junior_High_School,7638979,Middle schools in the United States,school,Q133748050,,,school
Country Day School movement,https://en.wikipedia.org/wiki/Country_Day_School_movement,1616928,Private schools in the United States,,Q2998896,,,unverified
Crow Creek Tribal School,https://en.wikipedia.org/wiki/Crow_Creek_Tribal_School,68357688,Private schools in the United States,,Q108084046,,,unverified
Independent Schools Association of the Southwest,https://en.wikipedia.org/wiki/Independent_Schools_Association_of_the_Southwest,51223105,Private schools in the United States,organization,Q26258642,,,non_school
Saint Grottlesex,https://en.wikipedia.org/wiki/Saint_Grottlesex,2962603,Private schools in the United States,group,Q1564565,,,non_school
Spring Education Group,https://en.wikipedia.org/wiki/Spring_Education_Group,63438222,Private schools in the United States,enterprise,Q96406218,,,non_school
"Fertilizers, Pills & Magnetic Strips","https://en.wikipedia.org/wiki/Fertilizers,_Pills_&_Magnetic_Strips",15885005,Public schools in the United States,literary work,Q5445592,,,non_school
Concept Schools,https://en.wikipedia.org/wiki/Concept_Schools,7188421,Charter schools in the United States,organization,Q5158388,,,non_school
Crescent City Schools,https://en.wikipedia.org/wiki/Crescent_City_Schools,39766175,Charter schools in the United States,organization,Q16952647,,,non_school
Educate Now,https://en.wikipedia.org/wiki/Educate_Now,27821200,Charter schools in the United States,,Q5340836,,,unverified
Federal Charter School Program,https://en.wikipedia.org/wiki/Federal_Charter_School_Program,33586484,Charter schools in the United States,,Q5440055,,,unverified
GEO Academies,https://en.wikipedia.org/wiki/GEO_Academies,8406018,Charter schools in the United States,,Q5513194,,,unverified
Graham Elementary and Middle School,https://en.wikipedia.org/wiki/Graham_Elementary_and_Middle_School,8714368,Charter schools in the United States,secondary school|charter school,Q6024017,,,school
Horizon Science Academy Columbus High School,https://en.wikipedia.org/wiki/Horizon_Science_Academy_Columbus_High_School,52569792,Charter schools in the United States,high school|public school,Q28230610,,,school
KIPP,https://en.wikipedia.org/wiki/KIPP,2406984,Charter schools in the United States,charter management organization|501(c)(3) organization,Q6423304,2000,,non_school
Language/culture-based charter school,https://en.wikipedia.org/wiki/Language/culture-based_charter_school,21163071,Charter schools in the United States,,Q6486625,,,unverified
Mater Academy,https://en.wikipedia.org/wiki/Mater_Academy,34507403,Charter schools in the United States,,Q17020629,,,unverified
Milburn Schools,https://en.wikipedia.org/wiki/Milburn_Schools,32436139,Charter schools in the United States,,Q6850857,,,unverified
Mosaica Education,https://en.wikipedia.org/wiki/Mosaica_Education,32795063,Charter schools in the United States,business,Q13408402,1997,,non_school
National Heritage Academies,https://en.wikipedia.org/wiki/National_Heritage_Academies,27145838,Charter schools in the United States,education company|commercial organization,Q6973040,,,non_school
Peltier v. Charter Day School,https://en.wikipedia.org/wiki/Peltier_v._Charter_Day_School,81708619,Charter schools in the United States,legal case,Q137369928,,,non_school
SEED Foundation,https://en.wikipedia.org/wiki/SEED_Foundation,28637141,Charter schools in the United States,nonprofit organization,Q7389651,1997,,non_school
Somerset Academy Inc.,https://en.wikipedia.org/wiki/Somerset_Academy_Inc.,56435703,Charter schools in the United States,organization,Q48977499,,,non_school
Success Academy Charter Schools,https://en.wikipedia.org/wiki/Success_Academy_Charter_Schools,39469864,Charter schools in the United States,charter school agency|charter management organization|501(c)(3) organization,Q14707388,2006,,school
Success and Opportunity through Quality Charter Schools Act,https://en.wikipedia.org/wiki/Success_and_Opportunity_through_Quality_Charter_Schools_Act,42690196,Charter schools in the United States,bill,Q16933374,,,non_school
Uncommon Schools,https://en.wikipedia.org/wiki/Uncommon_Schools,13810310,Charter schools in the United States,nonprofit organization,Q7882874,,,non_school
University Charter School,https://en.wikipedia.org/wiki/University_Charter_School,59668459,Charter schools in the United States,,Q60771589,,,unverified
University Preparatory Academy,https://en.wikipedia.org/wiki/University_Preparatory_Academy,15890631,Charter schools in the United States,high school|public school,Q7894884,2007,,school
"Central Campus (Des Moines, Iowa)","https://en.wikipedia.org/wiki/Central_Campus_(Des_Moines,_Iowa)",74787462,Magnet schools in the United States,school,Q122790714,,,school
Classical High School,https://en.wikipedia.org/wiki/Classical_High_School,2600421,Magnet schools in the United States,high school,Q5128282,1843,,school
Alcides Figueroa Bilingual School,https://en.wikipedia.org/wiki/Alcides_Figueroa_Bilingual_School,13734742,Magnet schools in the United States,magnet school,Q7454377,1903,,school
Magnet Schools Assistance Program,https://en.wikipedia.org/wiki/Magnet_Schools_Assistance_Program,19599610,Magnet schools in the United States,,Q6731437,,,unverified
University Gardens High School,https://en.wikipedia.org/wiki/University_Gardens_High_School,28030472,Magnet schools in the United States,academic institution,Q6156896,1976,,school
Catholic schools in the United States,https://en.wikipedia.org/wiki/Catholic_schools_in_the_United_States,22585003,Catholic schools in the United States,Wikimedia list article,Q5053311,,,non_school
History of Catholic education in the United States,https://en.wikipedia.org/wiki/History_of_Catholic_education_in_the_United_States,42556285,Catholic schools in the United States,aspect of history,Q5775594,,,non_school
Cristo Rey Network,https://en.wikipedia.org/wiki/Cristo_Rey_Network,11855865,Catholic schools in the United States,educational institution,Q5186451,2000,,school
NativityMiguel Network of Schools,https://en.wikipedia.org/wiki/NativityMiguel_Network_of_Schools,13232622,Catholic schools in the United States,,Q6980122,,,unverified
O'Hara Catholic School,https://en.wikipedia.org/wiki/O'Hara_Catholic_School,47013915,Catholic schools in the United States,school,Q20712202,,,school
Pierce v. Society of Sisters,https://en.wikipedia.org/wiki/Pierce_v._Society_of_Sisters,665034,Catholic schools in the United States,decision of the Supreme Court of the United States,Q7191839,,,non_school
Poughkeepsie plan,https://en.wikipedia.org/wiki/Poughkeepsie_plan,28296932,Catholic schools in the United States,,Q7235504,,,unverified
Rapid City Catholic School System,https://en.wikipedia.org/wiki/Rapid_City_Catholic_School_System,82287150,Catholic schools in the United States,school,Q138303888,,,school
Woodmont Academy,https://en.wikipedia.org/wiki/Woodmont_Academy,43958556,Catholic schools in the United States,school,Q18395330,1995,,school
American Indian boarding school gravesites,https://en.wikipedia.org/wiki/American_Indian_boarding_school_gravesites,77476691,Boarding schools in the United States,,Q129078538,,,unverified
Southern Ute Boarding School,https://en.wikipedia.org/wiki/Southern_Ute_Boarding_School,78417202,Boarding schools in the United States,American Indian boarding school,Q131394632,,,school
Eight Schools Association,https://en.wikipedia.org/wiki/Eight_Schools_Association,26302107,Preparatory schools in the United States,athletic conference,Q5349007,1973,,non_school
Independent School League (New England),https://en.wikipedia.org/wiki/Independent_School_League_(New_England),2439728,Preparatory schools in the United States,athletic conference,Q1661102,1948,,non_school
New England Preparatory School Athletic Council,https://en.wikipedia.org/wiki/New_England_Preparatory_School_Athletic_Council,608426,Preparatory schools in the United States,athletic conference,Q7007348,,,non_school
"Achievement Academy (Baltimore, Maryland)","https://en.wikipedia.org/wiki/Achievement_Academy_(Baltimore,_Maryland)",9026344,Alternative schools in the United States,high school|public school,Q4673668,,,school
Albany Free School,https://en.wikipedia.org/wiki/Albany_Free_School,46652996,Alternative schools in the United States,school,Q4709313,1969,,school
Albany Options School,https://en.wikipedia.org/wiki/Albany_Options_School,24246334,Alternative schools in the United States,high school,Q4709357,,,school
Jackson Community School,https://en.wikipedia.org/wiki/Jackson_Community_School,29667973,Alternative schools in the United States,high school,Q7762524,2002,,school
"Antioch School (Yellow Springs, Ohio)","https://en.wikipedia.org/wiki/Antioch_School_(Yellow_Springs,_Ohio)",71539356,Alternative schools in the United States,school,Q113659627,,,school
"Aztec High School (Yuma, Arizona)","https://en.wikipedia.org/wiki/Aztec_High_School_(Yuma,_Arizona)",29793615,Alternative schools in the United States,high school|public school,Q4832943,1995,,school
Bachman Academy,https://en.wikipedia.org/wiki/Bachman_Academy,10490754,Alternative schools in the United States,boarding school,Q4838882,1906,,school
Baltimore Career Academy,https://en.wikipedia.org/wiki/Baltimore_Career_Academy,9019551,Alternative schools in the United States,high school|public school,Q4852799,,,school
Bard High School Early College,https://en.wikipedia.org/wiki/Bard_High_School_Early_College,1339822,Alternative schools in the United States,high school,Q4860040,2001,,school
Barker Creek Community School,https://en.wikipedia.org/wiki/Barker_Creek_Community_School,80071317,Alternative schools in the United States,school,Q134877209,,,school
"Bayside High School (Clearwater, Florida)","https://en.wikipedia.org/wiki/Bayside_High_School_(Clearwater,_Florida)",6883390,Alternative schools in the United States,high school,Q4874833,2004,,school
"Emerson High School (Kirkland, Washington)","https://en.wikipedia.org/wiki/Emerson_High_School_(Kirkland,_Washington)",15719978,Alternative schools in the United States,high school,Q4835451,,,school
Bexar County Learning Center,https://en.wikipedia.org/wiki/Bexar_County_Learning_Center,51244746,Alternative schools in the United States,school,Q26258661,,,school
Brecht Forum,https://en.wikipedia.org/wiki/Brecht_Forum,23308227,Alternative schools in the United States,cultural center,Q4960012,1975,,non_school
Bridgeport Academy,https://en.wikipedia.org/wiki/Bridgeport_Academy,24049588,Alternative schools in the United States,high school,Q4966575,2007,,school
Bridgescape,https://en.wikipedia.org/wiki/Bridgescape,61722717,Alternative schools in the United States,,Q85748945,,,unverified
Brooklyn Free School,https://en.wikipedia.org/wiki/Brooklyn_Free_School,41469849,Alternative schools in the United States,school,Q19874129,2004,,school
Brooklyn Frontiers High School,https://en.wikipedia.org/wiki/Brooklyn_Frontiers_High_School,22838530,Alternative schools in the United States,high school,Q7122483,2010,,school
Charles F. Brush High School,https://en.wikipedia.org/wiki/Charles_F._Brush_High_School,5226764,Alternative schools in the United States,high school|public school,Q5077498,1927,,school
Burnsville Alternative High School,https://en.wikipedia.org/wiki/Burnsville_Alternative_High_School,62402107,Alternative schools in the United States,high school,Q96374145,,,school
C. S. Monroe Technology Center,https://en.wikipedia.org/wiki/C._S._Monroe_Technology_Center,56908084,Alternative schools in the United States,high school,Q53301675,1977,,school
CAM Academy,https://en.wikipedia.org/wiki/CAM_Academy,50392322,Alternative schools in the United States,school,Q24765463,,,school
Capital City Alternative School,https://en.wikipedia.org/wiki/Capital_City_Alternative_School,32375601,Alternative schools in the United States,high school,Q5035511,,,school
Capital City High School,https://en.wikipedia.org/wiki/Capital_City_High_School,37899626,Alternative schools in the United States,high school,Q5243181,,,school
Career and Academic Development Institute,https://en.wikipedia.org/wiki/Career_and_Academic_Development_Institute,7923498,Alternative schools in the United States,high school,Q5038930,2004,,school
Carlos Rosario International Public Charter School,https://en.wikipedia.org/wiki/Carlos_Rosario_International_Public_Charter_School,51840906,Alternative schools in the United States,school building,Q28455832,,,school
Cassata Catholic High School,https://en.wikipedia.org/wiki/Cassata_Catholic_High_School,11664957,Alternative schools in the United States,high school,Q5049267,1975,,school
Center for Appropriate Transport,https://en.wikipedia.org/wiki/Center_for_Appropriate_Transport,7877413,Alternative schools in the United States,nonprofit organization,Q5059503,,,non_school
"Century High School (Los Lunas, New Mexico)","https://en.wikipedia.org/wiki/Century_High_School_(Los_Lunas,_New_Mexico)",3670069,Alternative schools in the United States,high school,Q5063158,,,school
William Merritt Chase Alternative School,https://en.wikipedia.org/wiki/William_Merritt_Chase_Alternative_School,6586132,Alternative schools in the United States,high school,Q8015583,,,school
City High-Middle School,https://en.wikipedia.org/wiki/City_High-Middle_School,9081550,Alternative schools in the United States,high school,Q5123218,,,school
Clear Path Alternative School,https://en.wikipedia.org/wiki/Clear_Path_Alternative_School,9966409,Alternative schools in the United States,high school,Q5130764,,,school
Clonlara School,https://en.wikipedia.org/wiki/Clonlara_School,7396136,Alternative schools in the United States,school,Q5135034,1967,,school
Coalition of Essential Schools,https://en.wikipedia.org/wiki/Coalition_of_Essential_Schools,572608,Alternative schools in the United States,organization,Q5137975,1984,,non_school
Cobblestone School,https://en.wikipedia.org/wiki/Cobblestone_School,5205435,Alternative schools in the United States,school,Q5138827,1983,2015,defunct
Colegio Cesar Chavez,https://en.wikipedia.org/wiki/Colegio_Cesar_Chavez,2156837,Alternative schools in the United States,university,Q5142796,1973,,out_of_scope
Coles High School Program,https://en.wikipedia.org/wiki/Coles_High_School_Program,31269203,Alternative schools in the United States,high school,Q5092380,1969,,school
Collaberg School,https://en.wikipedia.org/wiki/Collaberg_School,66414943,Alternative schools in the United States,,Q107525457,,,unverified
College of Creative Studies,https://en.wikipedia.org/wiki/College_of_Creative_Studies,255782,Alternative schools in the United States,educational institution,Q5146672,1967,,school
Colorado's Finest High School of Choice,https://en.wikipedia.org/wiki/Colorado's_Finest_High_School_of_Choice,21228875,Alternative schools in the United States,high school,Q5148675,1980,,school
Columbus Alternative High School,https://en.wikipedia.org/wiki/Columbus_Alternative_High_School,6685289,Alternative schools in the United States,high school|public school,Q5150001,1978,,school
Communities In Schools,https://en.wikipedia.org/wiki/Communities_In_Schools,17863093,Alternative schools in the United States,nonprofit organization,Q5154566,1977,,non_school
"Community High School (Ann Arbor, Michigan)","https://en.wikipedia.org/wiki/Community_High_School_(Ann_Arbor,_Michigan)",1268855,Alternative schools in the United States,high school,Q5154774,1972,,school
Comstock Compass High School,https://en.wikipedia.org/wiki/Comstock_Compass_High_School,31505264,Alternative schools in the United States,high school,Q5157690,1979,,school
Craft Academy for Excellence in Science and Mathematics,https://en.wikipedia.org/wiki/Craft_Academy_for_Excellence_in_Science_and_Mathematics,54743020,Alternative schools in the United States,school,Q38251417,2014,,school
Daniel C. Oakes High School,https://en.wikipedia.org/wiki/Daniel_C._Oakes_High_School,62025816,Alternative schools in the United States,high school,Q85755633,,,school
Dartmoor School,https://en.wikipedia.org/wiki/Dartmoor_School,27809619,Alternative schools in the United States,school,Q5225648,1990,,school
Davenport Mid City High School,https://en.wikipedia.org/wiki/Davenport_Mid_City_High_School,46316275,Alternative schools in the United States,high school,Q19877861,2014,,school
Dharma Realm Buddhist University,https://en.wikipedia.org/wiki/Dharma_Realm_Buddhist_University,39225718,Alternative schools in the United States,university,Q19840052,1976,,out_of_scope
Dr. Pedro Albizu Campos High School,https://en.wikipedia.org/wiki/Dr._Pedro_Albizu_Campos_High_School,36795290,Alternative schools in the United States,high school,Q5304321,1972,,school
Eager Street Academy,https://en.wikipedia.org/wiki/Eager_Street_Academy,60682492,Alternative schools in the United States,alternative school|secondary school|public school,Q65067855,,,school
Eagle Harbor High School,https://en.wikipedia.org/wiki/Eagle_Harbor_High_School,9112552,Alternative schools in the United States,high school,Q5325105,2008,,school
EAGLES Academy,https://en.wikipedia.org/wiki/EAGLES_Academy,57635094,Alternative schools in the United States,school,Q54959172,1992,,school
East Market Street Church of Christ,https://en.wikipedia.org/wiki/East_Market_Street_Church_of_Christ,34391104,Alternative schools in the United States,church building,Q5328938,,,non_school
ECADEMY High School,https://en.wikipedia.org/wiki/ECADEMY_High_School,8091115,Alternative schools in the United States,high school,Q4712811,1914,,school
Edmonds Heights K–12,https://en.wikipedia.org/wiki/Edmonds_Heights_K–12,18300399,Alternative schools in the United States,school,Q5338952,,,school
Electronic Classroom of Tomorrow,https://en.wikipedia.org/wiki/Electronic_Classroom_of_Tomorrow,9241851,Alternative schools in the United States,high school|public school,Q5358223,2000,,school
Ensweiler Academy,https://en.wikipedia.org/wiki/Ensweiler_Academy,6589426,Alternative schools in the United States,high school,Q5380068,1995,,school
"Evergreen High School (Oakhurst, California)","https://en.wikipedia.org/wiki/Evergreen_High_School_(Oakhurst,_California)",6186173,Alternative schools in the United States,high school|public school,Q5417208,,,school
Excel Academy at Francis M. Wood High School,https://en.wikipedia.org/wiki/Excel_Academy_at_Francis_M._Wood_High_School,9022514,Alternative schools in the United States,high school|public school|adult high school,Q5481811,,,school
Farmington Central High School (Michigan),https://en.wikipedia.org/wiki/Farmington_Central_High_School_(Michigan),23416068,Alternative schools in the United States,high school,Q5435887,,,school
Fern Ridge High School,https://en.wikipedia.org/wiki/Fern_Ridge_High_School,3296182,Alternative schools in the United States,high school,Q5444475,1992,,school
Fort Hayes Metropolitan Education Center,https://en.wikipedia.org/wiki/Fort_Hayes_Metropolitan_Education_Center,6687428,Alternative schools in the United States,high school|public school,Q5471309,1976,,school
Frank Church High School,https://en.wikipedia.org/wiki/Frank_Church_High_School,3765526,Alternative schools in the United States,high school,Q5485825,2008,,school
Freedom University,https://en.wikipedia.org/wiki/Freedom_University,65253747,Alternative schools in the United States,,Q104855628,,,unverified
Genesis High School,https://en.wikipedia.org/wiki/Genesis_High_School,51236669,Alternative schools in the United States,high school,Q26258647,,,school
"Gifted Education Resource Institute, Purdue University","https://en.wikipedia.org/wiki/Gifted_Education_Resource_Institute,_Purdue_University",30104686,Alternative schools in the United States,,Q5560069,,,unverified
Devereux Glenholme School,https://en.wikipedia.org/wiki/Devereux_Glenholme_School,11378833,Alternative schools in the United States,school|special education school,Q5266899,1968,,school
Goddard College,https://en.wikipedia.org/wiki/Goddard_College,529717,Alternative schools in the United States,liberal arts college in the United States|private not-for-profit educational institution,Q5576249,1938,,school
Great Neck Village High School,https://en.wikipedia.org/wiki/Great_Neck_Village_High_School,64783853,Alternative schools in the United States,high school,Q7930685,1971,,school
H-B Woodlawn,https://en.wikipedia.org/wiki/H-B_Woodlawn,1807031,Alternative schools in the United States,high school,Q5627828,1978,,school
Henderson Bay High School,https://en.wikipedia.org/wiki/Henderson_Bay_High_School,59614951,Alternative schools in the United States,high school|alternative school,Q60769563,,,school
High School of Music & Art,https://en.wikipedia.org/wiki/High_School_of_Music_&_Art,6162228,Alternative schools in the United States,art academy|music school,Q7739610,1936,1984,defunct
Homewood Center,https://en.wikipedia.org/wiki/Homewood_Center,57223174,Alternative schools in the United States,school,Q55316509,2002,,school
"Hope High School (Port Lavaca, Texas)","https://en.wikipedia.org/wiki/Hope_High_School_(Port_Lavaca,_Texas)",51400520,Alternative schools in the United States,high school,Q28230195,,,school
Huelga schools (Houston),https://en.wikipedia.org/wiki/Huelga_schools_(Houston),55308336,Alternative schools in the United States,,Q41439899,,,unverified
Humanex Academy,https://en.wikipedia.org/wiki/Humanex_Academy,21580042,Alternative schools in the United States,private school,Q5939290,1983,,school
Independence High School (Georgia),https://en.wikipedia.org/wiki/Independence_High_School_(Georgia),7911275,Alternative schools in the United States,high school,Q6016067,1991,,school
Indian Trail High School and Academy,https://en.wikipedia.org/wiki/Indian_Trail_High_School_and_Academy,5144803,Alternative schools in the United States,high school,Q16996861,1998,,school
Irvington Community School,https://en.wikipedia.org/wiki/Irvington_Community_School,22366414,Alternative schools in the United States,high school,Q16958392,2001,,school
Joseph W. Pepin Memorial Building,https://en.wikipedia.org/wiki/Joseph_W._Pepin_Memorial_Building,28030481,Alternative schools in the United States,school building,Q4736431,1896,,school
Lake Academy,https://en.wikipedia.org/wiki/Lake_Academy,34918397,Alternative schools in the United States,high school|public school,Q14716581,,,school
Lara FS Academy,https://en.wikipedia.org/wiki/Lara_FS_Academy,11581318,Alternative schools in the United States,high school,Q6488538,,,school
"Legacy High School (Vancouver, Washington)","https://en.wikipedia.org/wiki/Legacy_High_School_(Vancouver,_Washington)",35665976,Alternative schools in the United States,high school,Q6517249,,,school
Lehman Alternative Community School,https://en.wikipedia.org/wiki/Lehman_Alternative_Community_School,2690881,Alternative schools in the United States,high school,Q6518890,,,school
Leonia Alternative High School,https://en.wikipedia.org/wiki/Leonia_Alternative_High_School,75630067,Alternative schools in the United States,school,Q124167477,,,school
Loudoun Academy of Science,https://en.wikipedia.org/wiki/Loudoun_Academy_of_Science,5581282,Alternative schools in the United States,high school,Q6686020,2005,,school
Magic Valley High School,https://en.wikipedia.org/wiki/Magic_Valley_High_School,3765578,Alternative schools in the United States,high school,Q6730876,,,school
Malcolm Shabazz City High School,https://en.wikipedia.org/wiki/Malcolm_Shabazz_City_High_School,12254529,Alternative schools in the United States,secondary school,Q6742620,1979,,school
Marburn Academy,https://en.wikipedia.org/wiki/Marburn_Academy,47130318,Alternative schools in the United States,school,Q20711756,1981,,school
Marsh Foundation School,https://en.wikipedia.org/wiki/Marsh_Foundation_School,28449549,Alternative schools in the United States,residential building,Q6773315,,,non_school
Mary E. Moss Academy,https://en.wikipedia.org/wiki/Mary_E._Moss_Academy,36708924,Alternative schools in the United States,educational institution,Q6779368,,,school
Mary E. Phillips High School,https://en.wikipedia.org/wiki/Mary_E._Phillips_High_School,26017319,Alternative schools in the United States,high school,Q7185907,,,school
Maya Angelou Academy,https://en.wikipedia.org/wiki/Maya_Angelou_Academy,23365908,Alternative schools in the United States,high school|public school,Q14692192,,,school
Metro High School (Iowa),https://en.wikipedia.org/wiki/Metro_High_School_(Iowa),10568571,Alternative schools in the United States,high school,Q6824583,1974,,school
Harvey Milk High School,https://en.wikipedia.org/wiki/Harvey_Milk_High_School,1009301,Alternative schools in the United States,LGBTQ+ organization|high school,Q626235,1985,,school
Mount Graham High School,https://en.wikipedia.org/wiki/Mount_Graham_High_School,20266182,Alternative schools in the United States,high school|public school,Q14680582,1994,,school
Mountain Youth School,https://en.wikipedia.org/wiki/Mountain_Youth_School,31738887,Alternative schools in the United States,high school,Q6925442,1997,,school
New Beginnings High School,https://en.wikipedia.org/wiki/New_Beginnings_High_School,4232919,Alternative schools in the United States,high school,Q7005491,,,school
Northwest Regional Learning Center,https://en.wikipedia.org/wiki/Northwest_Regional_Learning_Center,24722037,Alternative schools in the United States,,Q7060184,,,unverified
The Nova Project,https://en.wikipedia.org/wiki/The_Nova_Project,4238041,Alternative schools in the United States,high school,Q5552139,1970,,school
Oakland Alternative High School,https://en.wikipedia.org/wiki/Oakland_Alternative_High_School,25458419,Alternative schools in the United States,high school,Q7073962,,,school
Online high schools in California,https://en.wikipedia.org/wiki/Online_high_schools_in_California,47578191,Alternative schools in the United States,,Q22058455,,,unverified
Open High School (Virginia),https://en.wikipedia.org/wiki/Open_High_School_(Virginia),7093142,Alternative schools in the United States,high school,Q7096077,1972,,school
"Pacific High School (Sitka, Alaska)","https://en.wikipedia.org/wiki/Pacific_High_School_(Sitka,_Alaska)",4646241,Alternative schools in the United States,high school|public school,Q7122487,,,school
Palmetto Bay Academy,https://en.wikipedia.org/wiki/Palmetto_Bay_Academy,15149970,Alternative schools in the United States,high school,Q7128357,2000,,school
Parkview Center School,https://en.wikipedia.org/wiki/Parkview_Center_School,34411164,Alternative schools in the United States,school,Q17062482,1989,,school
Parkway Program,https://en.wikipedia.org/wiki/Parkway_Program,75579886,Alternative schools in the United States,,,,,unverified
Perkiomen Valley Academy,https://en.wikipedia.org/wiki/Perkiomen_Valley_Academy,7856377,Alternative schools in the United States,high school,Q7169084,1976,,school
Phoenix High School (Texas),https://en.wikipedia.org/wiki/Phoenix_High_School_(Texas),51236736,Alternative schools in the United States,high school,Q28230165,,,school
Queens Gateway to Health Sciences Secondary School,https://en.wikipedia.org/wiki/Queens_Gateway_to_Health_Sciences_Secondary_School,11449970,Alternative schools in the United States,high school,Q7270769,1995,,school
Edward A. Reynolds West Side High School,https://en.wikipedia.org/wiki/Edward_A._Reynolds_West_Side_High_School,6689417,Alternative schools in the United States,high school,Q5341475,,,school
Richard C. Briggs High School,https://en.wikipedia.org/wiki/Richard_C._Briggs_High_School,15190488,Alternative schools in the United States,high school,Q7324533,,,school
Richmond Community High School,https://en.wikipedia.org/wiki/Richmond_Community_High_School,3203736,Alternative schools in the United States,high school,Q7330790,1977,,school
Rio Grande Preparatory Institute,https://en.wikipedia.org/wiki/Rio_Grande_Preparatory_Institute,77314772,Alternative schools in the United States,school,Q127699457,,,school
High Mountain Institute,https://en.wikipedia.org/wiki/High_Mountain_Institute,21765839,Alternative schools in the United States,school,Q16892305,1995,,school
"School of the Arts (Rochester, New York)","https://en.wikipedia.org/wiki/School_of_the_Arts_(Rochester,_New_York)",9782817,Alternative schools in the United States,high school,Q7432599,,,school
"School Without Walls (Rochester, New York)","https://en.wikipedia.org/wiki/School_Without_Walls_(Rochester,_New_York)",8302070,Alternative schools in the United States,high school|middle school,Q7432318,1971,,school
Scriber Lake High School,https://en.wikipedia.org/wiki/Scriber_Lake_High_School,10522327,Alternative schools in the United States,high school,Q7439152,,,school
