wiki_title,wiki_pageid,wiki_url,wiki_state,wiki_level,wiki_wikidata_qid,wiki_nces_id,match_method,match_score,nces_school_id,nces_school_name,nces_sector,nces_state,nces_city,nces_low_grade,nces_high_grade
Norwell High School (Massachusetts),11330839,https://en.wikipedia.org/wiki/Norwell_High_School_(Massachusetts),Massachusetts,high,Q7061440,250903001455,nces_id,100.0,250903001455,Norwell High,public,MA,norwell,09,12
Norwood High School (Massachusetts),44883464,https://en.wikipedia.org/wiki/Norwood_High_School_(Massachusetts),Massachusetts,high,Q18705977,250906001466,nces_id,100.0,250906001466,Norwood High,public,MA,norwood,09,12
"Notre Dame Academy (Hingham, Massachusetts)",11273784,"https://en.wikipedia.org/wiki/Notre_Dame_Academy_(Hingham,_Massachusetts)",Massachusetts,high,Q7063357,,name_state,100.0,00599613,NOTRE DAME ACADEMY,private,MA,hingham,12,17
"Notre Dame Academy (Worcester, Massachusetts)",11260126,"https://en.wikipedia.org/wiki/Notre_Dame_Academy_(Worcester,_Massachusetts)",Massachusetts,high,Q7063364,,name_state,100.0,00602752,NOTRE DAME ACADEMY,private,MA,worcester,12,17
Notre Dame Cristo Rey High School,11262031,https://en.wikipedia.org/wiki/Notre_Dame_Cristo_Rey_High_School,Massachusetts,high,Q7063436,,name_state,100.0,A0501923,NOTRE DAME CRISTO REY HIGH SCHOOL,private,MA,methuen,14,17
"Notre Dame Preparatory School (Fitchburg, Massachusetts)",11260357,"https://en.wikipedia.org/wiki/Notre_Dame_Preparatory_School_(Fitchburg,_Massachusetts)",Massachusetts,high,Q7063464,,fuzzy,100.0,00600234,ACADEMY OF NOTRE DAME,private,MA,tyngsboro,2,17
"Notre Dame School (Fall River, Massachusetts)",18494258,"https://en.wikipedia.org/wiki/Notre_Dame_School_(Fall_River,_Massachusetts)",Massachusetts,elementary,Q7063472,,fuzzy,100.0,00600234,ACADEMY OF NOTRE DAME,private,MA,tyngsboro,2,17
Oakmont Regional High School,9452524,https://en.wikipedia.org/wiki/Oakmont_Regional_High_School,Massachusetts,high,Q14715792,250204000069,nces_id,100.0,250204000069,Oakmont Regional High School,public,MA,ashburnham,09,12
Old Colony Regional Vocational Technical High School,31128332,https://en.wikipedia.org/wiki/Old_Colony_Regional_Vocational_Technical_High_School,Massachusetts,high,Q7083747,250914001471,nces_id,100.0,250914001471,Old Colony Regional Vocational Technical,public,MA,rochester,09,12
Old Lee High School,55830436,https://en.wikipedia.org/wiki/Old_Lee_High_School,Massachusetts,high,Q48977017,250669000970,nces_id,100.0,250669000970,Lee Middle/High School,public,MA,lee,07,12
Old Rochester Regional High School,14468143,https://en.wikipedia.org/wiki/Old_Rochester_Regional_High_School,Massachusetts,high,Q7084859,250915001472,nces_id,100.0,250915001472,Old Rochester Regional High,public,MA,mattapoisett,09,12
Oliver Ames High School,4535425,https://en.wikipedia.org/wiki/Oliver_Ames_High_School,Massachusetts,high,Q7087388,250462000623,nces_id,100.0,250462000623,Oliver Ames High,public,MA,north easton,09,12
Oxford High School (Massachusetts),7752719,https://en.wikipedia.org/wiki/Oxford_High_School_(Massachusetts),Massachusetts,high,Q7115352,250927001482,nces_id,100.0,250927001482,Oxford High,public,MA,oxford,09,12
Palmer High School (Massachusetts),8824396,https://en.wikipedia.org/wiki/Palmer_High_School_(Massachusetts),Massachusetts,high,Q7128236,250930001485,nces_id,100.0,250930001485,Palmer High,public,MA,palmer,07,12
"Peabody School (Haverhill, Massachusetts)",18749882,"https://en.wikipedia.org/wiki/Peabody_School_(Haverhill,_Massachusetts)",Massachusetts,,Q14715809,,fuzzy,100.0,250327000447,Peabody,public,MA,cambridge,PK,05
Peabody Veterans Memorial High School,24204197,https://en.wikipedia.org/wiki/Peabody_Veterans_Memorial_High_School,Massachusetts,high,Q12065454,250936001504,nces_id,100.0,250936001504,Peabody Veterans Memorial High,public,MA,peabody,09,12
Peirce School,12998432,https://en.wikipedia.org/wiki/Peirce_School,Massachusetts,,Q7160948,,fuzzy,100.0,250198000065,Peirce,public,MA,arlington,KG,05
Pembroke High School,10425089,https://en.wikipedia.org/wiki/Pembroke_High_School,Massachusetts,high,Q7161958,250942001824,nces_id,100.0,250942001824,Pembroke High School,public,MA,pembroke,09,12
Pentucket Regional High School,35118080,https://en.wikipedia.org/wiki/Pentucket_Regional_High_School,Massachusetts,high,Q7165320,250945001513,nces_id,100.0,250945001513,Pentucket Regional Sr High,public,MA,west newbury,09,12
Perkins School for the Blind,227423,https://en.wikipedia.org/wiki/Perkins_School_for_the_Blind,Massachusetts,,Q114071,,name_state,100.0,00604589,PERKINS SCHOOL FOR THE BLIND,private,MA,watertown,3,17
Peter Thacher Junior High School,7389753,https://en.wikipedia.org/wiki/Peter_Thacher_Junior_High_School,Massachusetts,high,Q7177278,,fuzzy,100.0,250219001294,Peter Thacher Elementary School,public,MA,attleboro,KG,04
Phillips Academy,174145,https://en.wikipedia.org/wiki/Phillips_Academy,Massachusetts,high,Q1432645,,name_state,100.0,00603199,PHILLIPS ACADEMY,private,MA,andover,14,17
Pioneer Valley Chinese Immersion Charter School,21163323,https://en.wikipedia.org/wiki/Pioneer_Valley_Chinese_Immersion_Charter_School,Massachusetts,high,Q7196816,,name_state,100.0,250051702619,Pioneer Valley Chinese Immersion Charter School,public,MA,hadley,KG,12
Pioneer Valley Christian Academy,30556921,https://en.wikipedia.org/wiki/Pioneer_Valley_Christian_Academy,Massachusetts,high,Q7196818,,name_state,100.0,00603472,PIONEER VALLEY CHRISTIAN ACADEMY,private,MA,springfield,2,17
Pioneer Valley Performing Arts Charter Public School,2986794,https://en.wikipedia.org/wiki/Pioneer_Valley_Performing_Arts_Charter_Public_School,Massachusetts,high,Q7196822,250004400816,nces_id,100.0,250004400816,Pioneer Valley Performing Arts Charter Public School,public,MA,south hadley,07,12
Pioneer Valley Regional School,27306851,https://en.wikipedia.org/wiki/Pioneer_Valley_Regional_School,Massachusetts,high,Q7196824,250960001515,nces_id,100.0,250960001515,Pioneer Valley Regional,public,MA,northfield,07,12
Pittsfield High School (Massachusetts),37113757,https://en.wikipedia.org/wiki/Pittsfield_High_School_(Massachusetts),Massachusetts,high,Q7199480,250963001526,nces_id,100.0,250963001526,Pittsfield High,public,MA,pittsfield,09,12
