school_id,lat,lon,county_fips,match
A1500143,33.660444210972,-112.36006955665,04013,Match
A0792087,37.890553923131,-122.294909017743,06001,Match
A1170346,,,,No_Match
BB960750,34.187867328716,-118.178969011831,06037,Match
A0770293,33.679189528347,-117.909531046945,06059,Match
BB140093,34.172864914253,-118.614518390235,06037,Match
00078758,34.076344808353,-118.378751108255,06037,Match
00076579,33.924147000133,-117.439782543046,06065,Match
A1500147,33.38366025717,-117.250956387369,06073,Match
A1970157,30.741908808836,-88.077303909427,01097,Match
A9302604,33.633643634838,-117.830646359968,06059,Match
02004105,32.402481744929,-111.012968236136,04019,Match
A2392002,37.772474308492,-122.279385854179,06001,Match
A2300348,36.753088702926,-119.862007901605,06019,Match
01604067,34.287583870296,-119.159021090448,06111,Match
00031662,34.525458490607,-112.497490031143,04025,Match
BB200236,37.743252306478,-122.455742566669,06075,Match
A2300343,39.171194620158,-121.044927641468,06057,Match
00000929,,,,No_Match
00068943,33.772980318299,-118.18120693173,06037,Match
A9704938,37.437496864272,-121.875818533171,06085,Match
00076568,34.052220200245,-117.182826600204,06071,Match
00078747,33.844497428423,-118.322923029703,06037,Match
A2300330,36.777020542481,-119.790612336921,06019,Match
A2300331,34.162806591813,-118.098465089953,06037,Match
00075236,37.896102489521,-122.068510474773,06013,Match
A2300338,34.032626284001,-118.337297185869,06037,Match
02004116,32.235986148752,-110.964532971209,04019,Match
A0500745,35.337441858749,-119.083663159754,06029,Match
01612908,34.537329715611,-117.242180545529,06071,Match
A9700583,34.114532028925,-118.006059064603,06037,Match
00031651,34.972928692172,-110.058241475526,04017,Match
A2300335,33.625502528507,-117.715931592754,06059,Match
00091746,37.864173242456,-122.273458093697,06001,Match
00068954,33.853623900776,-118.186004830757,06037,Match
00069801,34.181658031779,-118.656284727985,06037,Match
A0900401,37.427110490532,-122.146831922436,06085,Match
A2370221,,,,No_Match
A1100017,34.727971319099,-86.656158543939,01089,Match
00078736,34.194333977747,-118.56653497763,06037,Match
00077889,37.743575135537,-121.423623839962,06077,Match
A0770270,37.557309872143,-122.319481130433,06081,Match
BB200220,37.868078798505,-122.297938659501,06001,Match
A2300320,36.302445666352,-119.137686364494,06107,Match
